Date,JYP ENTERTAINMENT,SM ENTERTAINMENT,YG ENTERTAINMENT,FNC ENTERTAINMENT,CUBE ENTERTAINMENT
200101,857203.6,901536.8,497704.6,120952.1,109218.1
200102,855428.9,889813.1,500434.2,121526.8,111078.3
200103,858978.4,872227.8,516812.1,123681.5,107092.2
200106,812835.1,827679,545928.3,121957.7,107623.7
200107,825258.1,848780.9,559576.4,123537.8,106959.4
200108,803960.9,822989.3,555936.9,123394.2,102574.7
200109,837681.1,853470.7,583233.3,122101.4,110945.4
200110,834131.7,835885.4,577774.1,123250.6,112406.9
200113,924644.1,910915.6,631457,129858.4,115595.8
200114,919320,892157.9,636916.3,128421.9,115197.2
200115,940616.6,883951.5,651474.4,127847.3,113204.1
200116,953040.2,886296.4,639645.9,126841.8,114001.4
200117,953040.2,883951.5,636006.4,126123.5,109350.9
200120,951265.5,888641.3,626907.6,120377.6,106560.8
200121,931743,844091.9,605980.4,118797.4,105497.8
200122,969012.6,855814.9,617808.8,118079.2,104700.6
200123,958364.4,844091.9,605980.4,117504.6,104833.4
200124,958364.4,844091.9,605980.4,117504.6,104833.4
200127,958364.4,844091.9,605980.4,117504.6,104833.4
200128,894473.3,771405.9,569585.1,112045.9,93805.3
200129,919320,787818.7,595971.7,113482.4,95266.9
200130,903346.9,788994.4,592332.1,112333.3,91945.2
200131,876726.2,770236.7,575044.4,110034.9,91280.8
200203,894473.3,779615.6,617808.8,110465.8,94071.1
200204,903346.9,796028.4,622358.2,112620.5,96329.8
200205,898022.8,793684.2,609619.9,112045.9,94868.3
200206,912221.1,805407.3,612349.5,114487.9,98721.5
200207,913995.8,796028.4,616898.9,113195.1,101777.4
200210,908671.7,785477.8,594151.9,112764.2,102973.3
200211,905121.6,799545.8,582323.4,112764.2,102308.9
200212,899797.4,803063.1,595061.8,112045.9,102574.7
200213,889149.2,797200.9,604366.1,113051.5,103106.1
200214,890923.9,796028.4,594354,113338.8,105232
200217,908671.7,798373.3,629851.4,113338.8,106029.3
200218,894473.3,783132.9,619839.3,111327.7,104966.3
200219,880275.6,776098.9,617108.8,111471.3,101910.3
200220,850104.8,763202.8,598904.9,111327.7,106826.5
200221,811060.4,738583.5,565227.9,106443.6,118784.7
200224,763141.8,703412.9,547024.1,102565.1,85036
200225,812835.1,739755.9,557036.3,103857.9,77595.3
200226,816384.6,728032.2,577970.6,104001.6,77728.2
200227,798636.8,705757.1,582521.6,102852.4,70553.3
200228,750718.8,667069.9,551575.1,98973.9,65371.4
200302,798636.8,696378.3,562497.4,97681.1,66832.9
200303,802186.2,694034.1,545203.8,98830.3,68028.8
200304,835906.4,697550.8,540652.8,98830.3,71616.3
200305,818159.3,696378.3,529730.5,100123.1,74937.9
200306,764916.5,663552.9,481490.4,98973.9,72812.1
200309,704574.9,619003.4,456915.3,93802.6,67895.9
200310,727646.8,622520.4,460556.1,93658.9,69357.4
200311,697476,611969.3,457825.6,90355,63245.5
200312,628261.3,548662.1,423238.3,85614.6,58595.1
200313,635360.3,528732.1,413226.2,80443.3,54210.4
200316,633585.5,508802,404124.3,76708.3,52084.5
200317,631810.8,501767.9,407765.1,71393.4,53014.7
200318,617612.8,480665.5,382279.8,67514.8,48630
200319,587442,445494.9,355884.3,57387.6,38532
200320,628261.3,456046,388651.1,57818.6,43315.2
200323,544848.1,391566.5,354063.9,51929,40392.1
200324,589216.8,433771.3,389561.3,53150,48630
200325,644234,479493.1,448723.6,60117,56735
200326,638909.8,473631.4,448723.6,66365.6,59525.2
200327,637135,480665.5,444172.7,67155.8,59525.2
200330,624711.8,487699.6,433250.4,67802.1,60189.5
200331,631810.8,493601.4,437801.3,70675.1,64840
200401,615838.1,477187.1,420507.8,70675.1,67364.4
200402,628261.3,499463.6,438711.5,69382.3,69091.7
200403,624711.8,495946.3,430519.8,70387.8,74406.5
200406,654882.5,526430,455094.9,71824.3,83308.7
200407,669080.5,528774.9,460556.1,72398.9,81980
200408,683278.5,532292.3,477849.7,75415.5,81714.3
200409,681503.8,544016.8,483310.9,76133.8,80119.8
200410,708124.9,576845.3,526089.8,80730.6,85966.1
200413,690377.2,581535.1,509706.3,81592.4,85567.4
200414,722322.7,597949.4,526089.8,81161.5,87560.5
200415,722322.7,597949.4,526089.8,81161.5,87560.5
200416,738295.1,626088.3,556126.1,82023.4,88756.3
200417,745394.6,626088.3,561587.2,84752.7,90350.8
200420,740070.5,613191.3,538832.4,84465.4,95532.6
200421,718773.3,597949.4,522449,82167,95931.3
200422,718773.3,602639.3,532461.1,79868.6,96064.1
200423,720548,609673.9,530640.7,81592.4,95798.4
200424,702800.2,589742.3,510616.6,80299.6,90749.4
200427,713449.1,600294.4,525179.6,83459.9,91147.9
200428,738295.1,655399.5,537922.3,85327.3,100448.8
200429,736520.4,649537.3,539742.6,87051.1,98721.5
200430,736520.4,649537.3,539742.6,87051.1,98721.5
200501,736520.4,649537.3,539742.6,87051.1,98721.5
200504,725872.1,637826.4,543383.4,85614.6,94469.7
200505,725872.1,637826.4,543383.4,85614.6,94469.7
200506,736520.4,664793.3,557036.3,85614.6,94469.7
200507,738295.1,664793.3,563407.6,86045.5,95931.3
200508,743619.9,664793.3,557036.3,85327.3,95134
200511,729421.6,647206.1,547024.1,84896.3,93672.4
200512,713449.1,626101.6,535191.7,82741.6,89022.1
200513,736520.4,630791.5,557946.4,81879.7,89553.5
200514,759592.4,630791.5,555215.8,81448.8,88756.3
200515,756042.9,610859.4,537012,80730.6,93008.1
200518,757817.6,610859.4,554305.7,81161.5,93008.1
200519,853654.2,658930.9,604366.1,82885.3,93539.6
200520,844780.6,649551.1,609827.3,83459.9,92078
200521,855428.9,648378.6,598904.9,83316.2,90882.3
200522,814609.8,633136.4,573419.6,82310.6,88091.9
200525,819934,633136.4,571599.3,81017.8,89287.8
200526,837681.1,642516.3,584341.9,82167,91413.7
200527,844780.6,643688.7,585252.1,83459.9,95931.3
200528,811060.4,619066.8,551575.1,82167,106693.6
200529,811060.4,609686.9,538832.4,82167,107756.6
200601,839455.8,630791.5,554305.7,85183.6,109350.9
200602,825258.1,637826.4,550664.9,87194.7,118784.7
200603,823483.4,638998.8,554305.7,87625.6,110546.8
200604,809285.7,629619,547024.1,86620.1,110015.3
200605,818159.3,636653.9,544293.6,88487.6,112141.2
200608,837681.1,654241,579791,94808.1,112274.1
200609,828807.6,655413.4,579791,93515.3,112938.4
200610,835906.4,644861.2,581611.4,92078.8,113602.8
200611,811060.4,624929.1,582521.6,88631.2,111211.1
200612,777340.2,597962.2,553425.9,86907.4,107889.4
200615,718773.3,548718.3,519747,80443.3,97791.4
200616,738295.1,567477.8,541592.8,83603.5,104966.3
200617,740070.5,566305.4,540682.5,84896.3,108155.1
200618,722322.7,551063.2,538862,83459.9,102707.6
200619,720548,554580.6,542503,83316.2,101910.3
200622,704574.9,542855.9,554336.1,84034.4,99917.3
200623,706350.3,542855.9,567989.7,82741.6,100980.3
200624,706350.3,551063.2,573451.1,84178.1,101644.6
200625,677954.3,529958.6,591655.9,83316.2,99784.4
200626,679729,534648.6,616232.4,84034.4,99917.3
200629,679729,514716.5,673577.6,85901.9,98721.5
200630,752493.5,568650.3,678128.8,89205.8,105232
200701,768465.9,562787.9,648090.8,84896.3,100050.1
200702,814609.8,624929.1,718178.9,88918.5,104966.3
200703,860753.1,669483.2,705435.4,89924.1,108022.3
200706,894473.3,670655.7,713628,86045.5,108420.9
200707,885599.8,689415.1,702705.1,87625.6,115595.8
200708,990309.9,738658.9,735473.8,88487.6,121176.3
200709,999183.4,738658.9,720909.8,89493.1,119581.9
200710,1031129,762108.3,698153.7,89780.4,114532.9
200713,1013382,772660.9,696333.1,87912.9,114001.4
200714,1036453,789075.1,705435.4,86907.4,114001.4
200715,1038228,766798.1,681769.7,87194.7,109882.4
200716,1045327,750383.9,691782.3,87769.3,111211.1
200717,1109218,782040.4,721820,88200.3,118651.8
200720,1151812,791420.6,728191.4,91216.9,117987.4
200721,1134064,767970.5,709986.9,91073.2,119449
200722,1135839,726934.4,698153.7,89636.8,119050.4
200723,1114542,729279.3,707255.9,89493.1,118518.9
200724,1075498,708174.8,697243.4,86332.8,115197.2
200727,1095020,729279.3,704525.1,87769.3,124896.6
200728,1073722,708174.8,709076.6,87194.7,120379.1
200729,1109218,712864.6,735473.8,87482,126623.9
200730,1054200,709347.2,718178.9,87482,125826.7
200731,1059525,732796.6,740934.9,87625.6,126623.9
200803,1068398,762108.3,776434.4,86907.4,124498
200804,1128740,777350.6,781895.6,87625.6,125029.5
200805,1166009,776178.2,819215.7,88918.5,122106.4
200806,1141163,792593,820126,88200.3,127421.1
200807,1153586,806662.3,800100.8,86045.5,124232.3
200810,1256522,819559.8,830138.6,81879.7,122505
200811,1249423,817214.9,831959.2,82885.3,121840.6
200812,1235225,800800.1,805561.9,84034.4,118651.8
200813,1307989,838319.4,878380.9,86907.4,122239.3
200814,1290242,841836.8,882932.4,85183.6,119050.4
200817,1290242,841836.8,882932.4,85183.6,119050.4
200818,1224576,832456.6,851074.1,80012.3,110015.3
200819,1311539,916874.8,897496.5,82454.3,112406.9
200820,1242324,881701,846522.6,75559.2,106295
200821,1229901,841836.8,855976.1,78575.8,113868.5
200824,1249423,843009.2,857809.2,78001.2,123169.3
200825,1263621,853561.1,892634.4,79006.8,124099.4
200826,1286693,845354.1,923794.1,79437.7,130477.1
200827,1242324,805489.8,932958.7,79294,130211.4
200828,1245874,821922.3,898133.5,78288.5,136854.8
200831,1236999,806679.3,855059.3,77857.6,138449.3
200901,1295566,838337.1,888052.1,78288.5,122903.6
200902,1331061,874684.7,920128.7,79581.3,121574.9
200903,1416349,911032.3,956786.9,81736.1,118120.3
200904,1448297,907514.3,958619.9,81592.4,118917.6
200907,1455396,905169.4,1002610,80586.9,118253.2
200908,1506867,921584.9,1055765,81448.8,121176.3
200909,1442972,902824.6,1057597,81161.5,116525.9
200910,1441197,889927.1,1057597,82597.9,117588.8
200911,1448297,886409.8,1075927,81879.7,148711.8
200914,1418124,877029.6,1063096,83316.2,148711.8
200915,1421674,882892.4,1063096,86620.1,148374.6
200916,1423449,879374.4,1068595,85327.3,145508.3